Marca,Modelo,Trim,Año,Condición,Millaje,Precio,Motor,MPG,VIN,Link Ficha
Mazda,CX-30,2.5 S Aire Edition,2026,Usado,,"$37,995",4 Cilindros,,3MVDMBXL0TM207912,https://wilfredoq.inv360.me/es/vehicles/616427
Mazda,Mazda3 Hatchback,2.5 S,2025,Nuevo,,"$34,995",4 Cyl,27/35,JM1BPAJM2S1779426,https://wilfredoq.inv360.me/es/vehicles/569426
Mazda,CX-30,2.5 S,2026,Nuevo,,"$35,995",4 Cyl,24/24,3MVDMBAL2TM134373,https://wilfredoq.inv360.me/es/vehicles/601276
Mazda,CX-30,Carbon Edition,2025,Nuevo,,"$36,995",4 Cilindros,,3MVDMBCM8SM803198,https://wilfredoq.inv360.me/es/vehicles/581700
Mazda,CX-5,2.5 S,2025,Nuevo,,"$36,995",4 Cyl,23/23,JM3KFBAL0S0790907,https://wilfredoq.inv360.me/es/vehicles/601268
Mazda,CX-5,2.5 S Select Package,2025,Nuevo,,"$39,995",4 Cyl,23/23,JM3KFBBL3S0792147,https://wilfredoq.inv360.me/es/vehicles/594412
Mazda,CX-5,2.5 S Select,2026,Nuevo,,"$42,995",4 Cilindros,,JM3KMBHA9T0145040,https://wilfredoq.inv360.me/es/vehicles/610595
Mazda,CX-5,2.5 S Preferred Package,2025,Nuevo,,"$42,995",4 Cyl,0/0,JM3KFBCM6S0793848,https://wilfredoq.inv360.me/es/vehicles/601271
Mazda,CX-50,2.5 S Premium,2026,Nuevo,,"$48,995",4 Cyl,24/24,7MMVABDL8TN451882,https://wilfredoq.inv360.me/es/vehicles/601273
Mazda,CX-5,2.5 S Premium,2026,Nuevo,,"$49,995",4 Cilindros,,JM3KMDHA8T0100540,https://wilfredoq.inv360.me/es/vehicles/611165
Mazda,CX-50,Hybrid Premium Plus,2026,Nuevo,,"$53,995",4 Cyl Híbrido,39/39,7MMVAAEW9TN157877,https://wilfredoq.inv360.me/es/vehicles/594411
Mazda,CX-50,Hybrid Premium Plus,2026,Nuevo,,"$54,995",4 Cil. Híbrido,,7MMVAAEW3TN153906,https://wilfredoq.inv360.me/es/vehicles/616426
Mazda,CX-90,Premium Sport,2026,Nuevo,,"$64,995",6 Cil. en línea,23/28,JM3KKCHD8T1354477,https://wilfredoq.inv360.me/es/vehicles/596193
Mazda,CX-70,3.3 Turbo S Premium,2026,Nuevo,,"$66,995",6 Cil. en línea,23/28,JM3KJDHC6T1205307,https://wilfredoq.inv360.me/es/vehicles/594294
Mazda,CX-70,3.3 Turbo S Premium Plus,2026,Nuevo,,"$73,995",6 Cil. en línea,,JM3KJEHC0T1205289,https://wilfredoq.inv360.me/es/vehicles/621522
Kia,Rio,LX,2020,Usado,"39,603","$11,995",4 Cyl,33/33,3KPA24AD1LE277551,https://wilfredoq.inv360.me/es/vehicles/581664
Kia,Sportage,LX,2017,Usado,"101,480","$12,995",4 Cyl,23/23,KNDPM3AC9H7048810,https://wilfredoq.inv360.me/es/vehicles/581696
Kia,Rio,LX,2022,Usado,"54,239","$14,995",4 Cilindros,,,
Toyota,Yaris Sedan,L,2020,Usado,"62,765","$14,995",4 Cyl,30/30,3MYDLBYV6LY709810,https://wilfredoq.inv360.me/es/vehicles/593634
Hyundai,Accent,SE,2022,Usado,"45,852","$14,995",4 Cyl,33/33,3KPC24A63NE187413,https://wilfredoq.inv360.me/es/vehicles/581679
